name,category,price,rating
Samsung Galaxy S21,Phone,799.99,4.6
Apple iPhone 13 Pro,Phone,999.99,4.7
Google Pixel 6,Phone,699.99,4.4
OnePlus 9 Pro,Phone,1069.99,4.5
Sony Xperia 1 II,Phone,1199.99,4.2
Samsung Galaxy S22,Phone,899.99,4.6
Nokia 8.3 5G,Phone,499.99,4.0
Apple MacBook Pro,Laptop,2399.99,4.8
Dell XPS 13,Laptop,999.99,4.5
HP Spectre x360,Laptop,1399.99,4.6
Lenovo ThinkPad X1,Laptop,1200.00,4.5
Asus ROG Strix,Gaming Laptop,1599.99,4.4
Microsoft Surface 4,Laptop,1299.99,4.3
Alienware m15,Gaming Laptop,1999.99,4.5
Apple iPad Pro,Tablet,1099.99,4.7
Samsung Galaxy Tab S7,Tablet,649.99,4.6
Microsoft Surface Pro 7,Tablet,749.99,4.5
Amazon Fire HD 10,Tablet,149.99,4.3
Sony WH-1000XM4,Headphone,349.99,4.9
Bose QuietComfort 35 II,Headphone,299.99,4.7
Apple AirPods Pro,Headphone,249.99,4.8
JBL Flip 5,Speaker,99.99,4.6
Ultimate Ears BOOM 3,Speaker,129.99,4.5
Bose SoundLink Flex,Speaker,149.99,4.6
Sony SRS-XB12,Speaker,58.99,4.4
Canon EOS R6,Camera,2499.99,0.0
Nikon D7500,Camera,849.99,4.6
Sony Alpha A7 III,Camera,1999.99,4.8
Fujifilm X-T4,Camera,1699.99,4.7
GoPro HERO 10,Camera,499.99,4.5
Nintendo Switch,Console,299.99,4.8
PlayStation 5,Console,499.99,4.7
Xbox Series X,Console,499.99,4.5
Samsung Galaxy Buds Pro,Headphone,199.99,4.5
Garmin Forerunner 945,Fitness Tracker,599.99,4.8
Fitbit Charge 5,Fitness Tracker,179.99,4.2
Apple Watch Series 7,Smartwatch,399.99,4.6
Nike Air Max 270,Clothing,150.00,4.6
Adidas Ultraboost 21,Clothing,180.00,4.7
Levi's 501 Original Fit,Clothing,49.99,4.5
Gucci GG Marmont,Clothing,2500.00,4.8
Ray-Ban Aviator Sunglasses,Clothing,154.00,4.7
Samsung 55-inch QLED TV,Electronics,1199.99,4.7
LG OLED C1 TV 55-inch,Electronics,1499.99,4.7
Bose QuietComfort Earbuds,Electronics,279.99,4.3
Fitbit Versa 3,Fitness Tracker,229.99,4.5
GoPro Hero 9,Electronics,399.99,4.6
